아이디,위도,경도,고도,장소명,장소설명,이미지파일명
10,33.39286412,126.2391092,,주차장,주차장,010_DSC00124.jpg
10,33.39286303,126.239115,-3.853576,주차장 [A코스시작],주차장 [A코스시작],
10,33.39329101,126.238971,-4.600031,외부 화장실,외부 화장실 (장애인화장실-남/여 공용),
10,33.39287946,126.2392512,,주차장,주차장,010_DSC00125.jpg
10,33.39323997,126.239636,-4.609362,,,
10,33.39333158,126.2396961,,주차장,주차장 (장애인 주차장),010_DSC00126.jpg
10,33.39338271,126.2396069,,해수욕장 진입로,해수욕장 진입로,010_DSC00127.jpg
10,33.39338296,126.239607,-3.564324,해수욕장 진입로,해수욕장 진입로,
10,33.39381304,126.23969,-3.349718,,,
10,33.39379367,126.2396687,,해수욕장 진입로,해수욕장 진입로 (휠체어),010_DSC00128.jpg
10,33.39394229,126.239519,,해수욕장,해수욕장 (해변가에서 바다 조망 포인트),010_DSC00129.jpg
10,33.39392695,126.2395888,,협재 바다 전경,협재 바다 전경,010_DSC00130.jpg
10,33.39391404,126.239583,-3.461687,해수욕장,해수욕장 (해변가에서 바다 조망 포인트),
10,33.39332999,126.239541,-4.282787,주차장[종료],주차장[종료],
10,33.394785,126.240864,-7.595183,주차장[B코스시작],주차장[B코스시작],
10,33.39492062,126.2407777,,협재 바다 전경,협재 바다 전경,010_DSC00131.jpg
10,33.39466791,126.2405617,,백사장진입경사로,백사장진입경사로,010_DSC00132.jpg
10,33.394669,126.24056,-7.27794,백사장진입경사로,백사장진입경사로,
10,33.39470906,126.2404205,,백사장진입경사로,백사장진입경사로 끝지점(단차),010_DSC00133.jpg
10,33.39470504,126.240413,-7.660498,백사장진입경사로 종료지점,백사장 (만조시 바다 가까이 접근 가능),
10,33.3946669,126.2407357,,장애인 주차장 [B코스],장애인 주차장 [B코스],010_DSC00134.jpg
10,33.394756,126.240833,-8.705536,주차장[종료],주차장[종료],
